episode,samples,scale,shift,mae_m,rel_std,design_condition
0,426,0.5308312908352374,0.41732943258325084,0.04927502123559745,0.10690697815155403,11.743386426056576
1,417,0.6984632921531927,0.33378787360978596,0.06520387943126274,0.08764509688028665,14.896903482453034
2,327,0.7250749084668741,0.3254174261050974,0.0612708866911479,0.0949120953587478,13.352974013882415
3,375,0.5041263552968663,0.4132557704485296,0.055451396951673664,0.09337386238635162,14.03332913286798
4,396,0.6483499465137905,0.35630150426210383,0.055842599520605524,0.09890086641198753,13.034492906165541
5,369,0.7011934999140199,0.31349571157508993,0.07061846770320154,0.09990904643407196,12.540644441689572
6,357,0.7051259799032054,0.3230809911811062,0.05473161848831358,0.09838562673377889,12.705197743070302
7,378,0.46286194675699055,0.4667048654866398,0.05611262673695396,0.09654035053778837,13.140630849577072
8,435,0.6937244922373365,0.32486133265771744,0.04679153678675757,0.07082456604011735,18.18297929223626
9,363,0.5880541881008182,0.3723635007773835,0.06210507135707308,0.09820100396955732,13.31105098307478
10,369,0.6135931953797712,0.39528291789068715,0.05337281140252965,0.08940031938233954,13.989549371876432
11,372,0.6597267524574185,0.35370795649455794,0.05244894667098986,0.10149787772989308,12.415698800314551
12,342,0.5021028582186373,0.42198777607413307,0.056221131298297256,0.0909379446072891,14.250782169416173
13,330,0.7234072809226678,0.3095212820418292,0.054013490283102976,0.08433422190130428,15.126559357237806
14,417,0.7024174628170307,0.33221295166163467,0.053346794004103866,0.08959372889055504,14.062946041918835
15,339,0.5876178237125389,0.3772357281422902,0.056283021182345586,0.09761434587248285,12.916300709238483
16,306,0.5639954834444274,0.40325782439276747,0.0589602181936575,0.10419604010124384,12.187725476081123
17,414,0.6463642079320777,0.31697925982701275,0.05923362081807517,0.09709949395636114,13.310729033914921
18,453,0.7732097638187642,0.30093667717468603,0.06051629345247394,0.09655081144050912,13.154538540389533
19,366,0.5881089613077924,0.38376175785740607,0.05620787655885218,0.10091723477220772,12.44252954498536
20,429,0.7671466173146773,0.30140638607368403,0.048021602825700116,0.08664131172977108,14.224414191477567
21,330,0.6769279883879402,0.32697490609444685,0.06130496509105336,0.09479667073468977,13.449162268163786
22,348,0.6137644239530033,0.3810854300181861,0.06083303304589436,0.10081605063455323,12.398266321855061
23,414,0.7485453638974777,0.30534137244181975,0.061711728194026885,0.08932928958627481,13.979417320658662
24,354,0.7989403164359146,0.2727601561762678,0.048807676004690444,0.10164656518001602,12.354857742604512
25,324,0.7101337738599651,0.31654772714154783,0.06415134489715607,0.08511489332693206,15.166641729782492
26,354,0.6684477301911211,0.3314181215864869,0.06489959303174551,0.09467473033264205,13.196484387109043
27,348,0.79559209419927,0.26626079520163665,0.06024909202419562,0.10892249631664946,11.725186333585308
28,423,0.5998538099099847,0.38531409415282075,0.04730696252440976,0.09199559563882019,13.664964143103786
29,378,0.634289667700849,0.35990594278662635,0.05791162214150149,0.08742877645457406,14.74267408094599
30,360,0.7595328956686862,0.2853508033554125,0.05517557543536337,0.09443118192580506,13.290069483416827
31,399,0.7365627425273564,0.34128158743295256,0.062256866260768984,0.09854206456405801,12.844065992670135
32,357,0.5218584692966265,0.39535370945141546,0.06558752455969313,0.10797246551895598,11.892663483750026
33,513,0.5333153405593916,0.43686719177321975,0.057087349778602,0.07102480467503144,17.832017789652976
34,312,0.8531657870751203,0.2824282959121321,0.054018003422698725,0.08470565242992834,14.591480070915722
